customer_id,first_name,last_name,email,region,loyalty_tier,join_date
1,Sarah,Johnson,joe04@example.org,Southwest,Platinum,2023-06-13
2,Arthur,Hodges,rodriguezrobert@example.org,West,Silver,2025-02-24
3,Zachary,Hansen,wendy29@example.com,Midwest,Silver,2024-05-02
4,Lee,Mendoza,folsen@example.com,West,Platinum,2026-01-25
5,Melanie,Noble,jenniferleach@example.org,West,Silver,2025-05-31
6,Sheryl,Moyer,skinnerbreanna@example.net,Southeast,Standard,2024-03-02
7,Eric,Wagner,timothymalone@example.org,Midwest,Silver,2024-08-01
8,Nicole,Ramos,nealbrandon@example.net,Midwest,Silver,2025-04-08
9,Jason,Freeman,,Midwest,Standard,2025-04-22
10,Alexis,Mack,david47@example.org,West,Silver,2023-12-21
11,Jeffrey,Ramirez,christopher45@example.org,Southwest,Platinum,2024-04-24
12,Christine,Montoya,timothylee@example.org,Midwest,Platinum,2023-07-27
13,Matthew,Booth,amber69@example.net,West,Standard,2023-10-19
14,Vincent,Zamora,zleonard@example.org,Southeast,Standard,2025-06-19
15,Danielle,Hayes,qsimon@example.net,Southwest,Platinum,2026-04-25
16,Deborah,Knight,qwhitaker@example.com,Southeast,Gold,2023-05-29
17,Gregory,Moore,fchristensen@example.com,Southwest,Standard,2024-05-05
18,Brenda,Green,odavidson@example.org,West,Platinum,2023-11-13
19,Michael,Torres,jasontaylor@example.com,Northeast,Gold,2023-11-12
20,Amanda,Green,patricia06@example.com,Southwest,Silver,2024-11-03
21,Trevor,Baker,timothy26@example.net,Southeast,Silver,2025-01-27
22,Christopher,Fields,donaldsmith@example.org,West,Standard,2023-12-24
23,Adrian,Maynard,jamie08@example.net,Southwest,Standard,2023-06-03
24,Victoria,Smith,sskinner@example.com,Northeast,Standard,2025-08-10
25,Jill,Moore,,Northeast,Gold,2025-06-22
26,Anthony,Whitaker,qgallagher@example.com,Midwest,Standard,2026-02-20
27,Margaret,Murphy,bbanks@example.com,Midwest,Standard,2025-03-01
28,Cheryl,Ritter,jakegrant@example.org,Southeast,Standard,2025-05-19
29,Andrea,Lloyd,sobrien@example.net,Southwest,Silver,2024-05-05
30,Victoria,Lopez,wesleybaker@example.com,Southwest,Platinum,2023-07-06
31,Richard,Estes,kenneth66@example.com,Midwest,Standard,2026-03-30
32,Alexander,Ramsey,simslauren@example.net,Southwest,Standard,2024-12-20
33,Philip,Hernandez,louismendoza@example.com,Southwest,Silver,2023-07-27
34,Samantha,Newman,karenturner@example.net,Northeast,Standard,2026-04-13
35,Arthur,Wheeler,richardsontheresa@example.org,Midwest,Standard,2023-10-08
36,Patty,Jordan,heatherbarron@example.net,West,Standard,2025-12-20
37,Lisa,Stephens,christopher52@example.net,Midwest,Standard,2025-04-03
38,Jeffrey,Brooks,justingomez@example.com,West,Standard,2026-02-26
39,Peter,Johnson,andrew29@example.org,Northeast,Standard,2023-09-06
40,Melinda,Evans,kristinwallace@example.net,Southeast,Standard,2025-11-28
41,Michael,Cameron,jessicaphillips@example.com,Southwest,Platinum,2025-02-24
42,Nicole,Harrison,kwhite@example.org,Northeast,Standard,2025-10-03
43,Christina,Jordan,pamelawade@example.net,Southwest,Silver,2024-09-11
44,Marie,Webb,summerscrystal@example.com,Southeast,Silver,2023-09-15
45,Brenda,Christian,murphyjennifer@example.org,Southeast,Standard,2025-03-08
46,Jesse,Quinn,mossbilly@example.net,Northeast,Silver,2025-05-28
47,Cassandra,Graves,kirkrichard@example.net,Southeast,Standard,2024-10-15
48,Sarah,Smith,jeffreyjackson@example.com,West,Platinum,2024-08-17
49,Kimberly,Davenport,brian92@example.com,Southeast,Standard,2025-04-30
50,Michele,Oconnor,kyu@example.com,Southwest,Standard,2025-07-23
51,Erica,Riley,johnsonjustin@example.net,Southwest,Standard,2024-10-30
52,Jeanette,Robinson,,Southwest,Platinum,2025-12-22
53,Taylor,Hernandez,kjenkins@example.org,Southwest,Silver,2026-03-29
54,Denise,Allen,ericwilliams@example.net,West,Silver,2024-11-26
55,Jeffrey,Dodson,kevin17@example.com,Midwest,Standard,2025-06-08
56,Brandon,Clark,brownjason@example.com,Northeast,Silver,2024-11-24
57,Heather,Torres,michaelberry@example.org,Southwest,Standard,2024-12-31
58,Breanna,Rosario,courtneyvazquez@example.com,Southeast,Gold,2024-04-11
59,Christopher,Chen,shortlawrence@example.org,Southwest,Standard,2026-04-15
60,Edgar,Baker,john51@example.com,Southeast,Standard,2024-08-07
61,Ian,Cabrera,william39@example.net,Southeast,Standard,2023-10-20
62,Nathaniel,Daugherty,debratyler@example.net,Southwest,Standard,2023-07-22
63,Brittany,Navarro,psilva@example.com,West,Silver,2024-04-12
64,Gregory,Nguyen,williamward@example.com,Southeast,Standard,2024-10-09
65,Tammy,Brown,paula78@example.com,Southeast,Gold,2024-12-20
66,Justin,Willis,kellywang@example.net,Southwest,Standard,2024-07-25
67,Sandra,Lee,courtneycalhoun@example.org,Southeast,Silver,2024-12-05
68,Emily,Zamora,juliafernandez@example.com,Southeast,Standard,2024-08-07
69,Kimberly,Strickland,shaffertammy@example.org,Southwest,Standard,2025-05-28
70,Sarah,Clark,pvazquez@example.net,Southwest,Silver,2025-10-23
71,Jennifer,Hoffman,jasonalexander@example.net,Northeast,Standard,2026-01-26
72,Steven,Cunningham,iwang@example.net,West,Standard,2024-09-14
73,Abigail,Hamilton,kimrodriguez@example.net,West,Gold,2024-01-21
74,Cody,Fields,youngsteven@example.net,Southeast,Platinum,2023-11-07
75,Patrick,Tapia,kevinmitchell@example.org,West,Standard,2023-09-24
76,Carla,Daniels,andersondeborah@example.com,Southeast,Standard,2024-08-09
77,Jessica,Reynolds,jordan11@example.net,Northeast,Silver,2023-09-25
78,David,Watson,gouldclaudia@example.com,Southwest,Standard,2025-06-26
79,Amber,Davis,sandrasmith@example.com,Southwest,Standard,2023-09-13
80,Rebecca,Jones,williamlawrence@example.org,Southwest,Standard,2023-10-04
81,Kristen,Brown,wolfekimberly@example.net,West,Silver,2025-07-13
82,Paul,Lee,hannahadams@example.org,Northeast,Silver,2025-01-23
83,Mary,Jenkins,krichardson@example.org,West,Standard,2025-02-18
84,Michael,Wade,barbara84@example.net,West,Standard,2026-04-11
85,Michael,Howard,,Northeast,Standard,2026-05-12
86,Jennifer,Rangel,gconner@example.org,Northeast,Silver,2024-01-22
87,Aaron,Foster,martin65@example.net,Northeast,Standard,2024-04-08
88,Sonia,Willis,stephanie66@example.com,Northeast,Standard,2024-10-12
89,Jessica,Mendoza,samuellong@example.org,Southwest,Gold,2023-10-10
90,Colleen,Gonzalez,williamsalyssa@example.net,Midwest,Standard,2025-03-16
91,Jeffrey,Lindsey,berrymichael@example.net,Midwest,Silver,2025-11-02
92,Kristin,Hoover,cynthiafoster@example.com,Northeast,Standard,2026-02-23
93,Miranda,Hamilton,dharris@example.net,Midwest,Standard,2023-05-23
94,Michelle,Chandler,gsweeney@example.com,Midwest,Standard,2023-08-10
95,Stacey,Bradley,chloecalderon@example.com,Northeast,Silver,2023-12-11
96,Sarah,Foster,ambergarcia@example.net,Midwest,Gold,2024-10-30
97,Stephanie,Ross,joannehenderson@example.org,West,Gold,2024-12-07
98,Travis,Brown,landerson@example.org,Southeast,Standard,2025-10-22
99,Robert,Martinez,hingram@example.com,Southeast,Silver,2023-05-24
100,Karen,Lee,rosariokyle@example.com,Northeast,Standard,2024-03-08
101,Justin,Lee,peter51@example.org,Southwest,Standard,2025-07-21
102,Derek,Scott,wilsonshawn@example.org,Northeast,Gold,2024-12-10
103,Matthew,Bernard,robertsgregory@example.org,Southwest,Standard,2024-03-20
104,Benjamin,Lucas,janetharrington@example.net,Southeast,Standard,2026-03-10
105,Kristen,Floyd,rodrigueztim@example.org,Northeast,Standard,2023-09-26
106,Ryan,Lee,preid@example.org,West,Standard,2025-01-31
107,Rebecca,Haas,uwilliams@example.com,Midwest,Standard,2023-12-13
108,Tyler,Evans,eduardobrown@example.com,Southwest,Silver,2025-11-28
109,Marc,Green,sanchezmark@example.com,Midwest,Standard,2024-09-26
110,Margaret,Clark,ryanrichards@example.com,Midwest,Gold,2025-05-17
111,Lisa,Greer,brianwatson@example.org,Northeast,Gold,2023-11-02
112,Gina,Myers,hamiltonkendra@example.net,Midwest,Standard,2024-10-28
113,Yvette,Wallace,kevin92@example.com,West,Standard,2025-03-03
114,Melissa,Rangel,,Midwest,Standard,2024-10-02
115,Jose,Smith,marisa39@example.com,Northeast,Silver,2025-02-15
116,Juan,Martinez,gonzalezcarmen@example.org,West,Standard,2023-12-29
117,Joseph,Huff,parkermarissa@example.org,Southeast,Silver,2025-01-17
118,Nancy,Oliver,marksamanda@example.com,Midwest,Standard,2023-09-08
119,Eric,Woods,carlospace@example.com,Northeast,Silver,2025-02-27
120,Sarah,Jones,thomasjones@example.net,Southeast,Standard,2024-04-04
121,Tracey,Harris,olivia42@example.com,Southeast,Standard,2026-03-19
122,Jeremy,Blevins,efarmer@example.org,Southwest,Platinum,2024-12-02
123,Jonathan,Campbell,christina22@example.com,West,Gold,2025-02-28
124,Sean,Evans,lsmith@example.net,Midwest,Standard,2025-07-23
125,Jacob,Craig,karen27@example.com,Northeast,Gold,2026-02-13
126,Aaron,Sanders,erin81@example.com,Southwest,Standard,2024-12-17
127,Albert,Smith,nicolecastro@example.org,West,Gold,2025-05-29
128,Christopher,Lawrence,caindean@example.com,Southwest,Gold,2024-01-01
129,Matthew,Lewis,nicole45@example.net,West,Standard,2025-09-09
130,Charles,York,tammy46@example.com,West,Standard,2023-08-31
131,Steven,Campbell,troy07@example.com,Midwest,Standard,2024-01-07
132,Tanner,Owens,susan12@example.org,West,Silver,2023-08-23
133,Joshua,Tran,gilbert21@example.org,Southwest,Silver,2025-11-12
134,Sarah,Holmes,kellyfaulkner@example.com,West,Standard,2025-10-08
135,Amber,Adams,hornejeff@example.com,Midwest,Standard,2024-02-04
136,Jeffery,Williamson,diana01@example.net,Midwest,Gold,2026-05-18
137,Adrienne,Mccarthy,wbaker@example.net,Southwest,Platinum,2025-12-24
138,Dawn,Lyons,barbara54@example.org,Southeast,Silver,2026-02-15
139,Annette,Herrera,acole@example.com,Southeast,Standard,2023-08-07
140,Alex,Adams,sarah47@example.net,West,Standard,2024-07-07
141,Jeremy,Ponce,lindsey23@example.net,Northeast,Standard,2023-07-02
142,Kathryn,Thomas,patty37@example.net,West,Platinum,2026-01-20
143,Deborah,Kennedy,hannah90@example.net,Southwest,Standard,2024-12-22
144,Cody,Kaufman,william13@example.org,Southwest,Silver,2024-03-08
145,Larry,Walsh,wayne39@example.com,Southwest,Standard,2024-12-08
146,Amy,Hernandez,christinehoward@example.org,Southwest,Silver,2026-02-04
147,Richard,White,vjones@example.org,Southwest,Silver,2025-01-10
148,Amy,Hanson,theresa69@example.com,Midwest,Gold,2025-10-07
149,Monique,Keller,troy87@example.net,Southeast,Standard,2026-04-10
150,Derek,Smith,matthew12@example.com,Southwest,Standard,2025-05-15
151,Jeffrey,Garrett,pauljones@example.net,Northeast,Standard,2023-07-22
152,Kenneth,Wilson,anthony20@example.org,Northeast,Platinum,2025-04-01
153,Barbara,Hebert,samanthaherrera@example.net,Northeast,Gold,2024-09-02
